Frame,uiPartAddr,CU_X,CU_Y,CU_Height,CU_Width,MV_X,MV_Y
2,0,128,320,64,64,0,0
2,0,192,320,64,64,0,0
2,0,256,320,32,32,1,1
2,0,288,320,16,16,-2,9
2,0,304,320,8,8,-4,12
2,0,312,320,8,4,-4,12
2,1,312,320,8,4,-21,19
2,0,304,328,8,8,0,0
2,0,312,328,8,8,-21,19
2,0,288,336,16,16,0,3
2,0,304,336,8,16,0,0
2,8,304,336,8,16,-27,49
2,0,256,352,32,32,1,1
2,0,288,352,16,8,0,3
2,4,288,352,16,8,-27,49
2,0,304,352,8,8,-27,49
2,0,312,352,8,8,-27,49
2,0,304,360,8,8,-27,49
2,0,296,368,8,8,-27,49
2,0,288,376,8,8,-47,49
2,0,296,376,8,8,-47,49
2,0,304,368,8,8,-47,49
2,0,312,368,8,4,-47,49
2,1,312,368,8,4,0,0
2,0,304,376,8,8,-47,49
2,0,312,376,8,8,0,0
2,0,320,320,16,16,-28,46
2,0,336,320,8,8,-11,26
2,0,320,336,16,16,-27,49
2,0,336,336,8,8,-28,46
2,0,344,336,8,8,0,0
2,0,336,344,8,8,0,0
2,0,344,344,8,8,0,0
2,0,352,320,32,8,-1,13
2,4,352,320,32,24,0,0
2,0,320,352,24,32,12,18
2,40,320,352,8,32,0,0
2,0,352,352,8,32,12,18
2,8,352,352,24,32,0,0
2,0,384,320,64,64,1,0
2,0,448,320,32,32,1,0
2,0,480,320,32,32,1,0
2,0,448,352,32,32,1,0
2,0,480,352,16,16,1,0
2,0,496,352,8,8,1,0
2,0,504,352,8,8,1,0
2,0,496,360,8,8,1,0
2,0,504,360,8,8,27,-3
2,0,480,368,8,16,0,0
2,8,480,368,8,16,15,14
2,0,496,368,8,8,27,-17
2,0,504,368,8,8,27,-3
2,0,496,376,8,4,15,14
2,1,496,376,8,4,27,-3
2,0,504,376,8,8,27,-3
2,0,512,320,16,16,1,0
2,0,528,320,16,16,1,0
2,0,512,336,12,16,0,0
2,10,512,336,4,16,25,0
2,0,528,336,8,8,0,0
2,0,536,336,8,8,0,0
2,0,528,344,4,8,0,0
2,2,528,344,4,8,25,0
2,0,536,344,8,8,25,0
2,0,544,320,32,32,1,0
2,0,512,352,32,16,28,-4
2,16,512,352,32,16,31,0
2,0,544,352,16,16,25,0
2,0,560,352,8,8,1,0
2,0,568,352,8,8,1,0
2,0,560,360,8,8,25,0
2,0,568,360,8,8,1,0
2,0,544,368,16,16,31,0
2,0,560,368,8,8,31,0
2,0,568,368,8,8,1,0
2,0,560,376,8,8,31,0
2,0,568,376,8,8,1,0
2,0,576,320,64,64,1,0
2,0,640,320,32,32,1,0
2,0,672,320,32,32,1,0
2,0,640,352,32,32,1,0
2,0,672,352,32,32,0,0
2,0,704,320,32,32,1,0
2,0,736,320,32,32,0,0
2,0,704,352,32,32,1,0
2,0,736,352,32,32,1,0
2,0,768,320,64,64,0,0
2,0,0,384,64,64,2,2
2,0,64,384,64,64,0,-2
2,0,128,384,64,64,0,-2
2,0,192,384,32,32,0,-2
2,0,192,416,32,32,0,-2
2,0,224,416,32,16,25,-73
2,16,224,416,32,16,22,-43
2,0,256,416,32,32,30,-46
2,0,288,416,16,16,37,-45
2,0,304,416,8,8,37,-45
2,0,304,424,8,8,37,-45
2,0,312,424,8,8,37,-45
2,0,288,432,16,16,30,-46
2,0,304,432,16,16,30,-46
2,0,320,384,32,32,0,0
2,0,352,384,32,32,0,0
2,0,320,416,16,4,37,-45
2,1,320,416,16,12,102,-90
